entry_price,min_points,stop_buffer,take_profit,require_external,max_hold_bars,fill_mode,slippage_ticks,split,n_trades,expected_nt,expected_r,total_pnl_nt,mdd_nt,win_rate,profit_factor,max_margin_nt
top,30.0,3.0,opposite_liquidity,False,24,optimistic,1,is,2,-88.6828,-2.9560933333333335,-177.3656,518.7,0.0,0.0,35050.0
top,30.0,3.0,opposite_liquidity,False,10000,conservative,1,is,2,-88.6828,-2.9560933333333335,-177.3656,518.7,0.0,0.0,35050.0
top,30.0,3.0,opposite_liquidity,False,10000,optimistic,1,is,2,-88.6828,-2.9560933333333335,-177.3656,518.7,0.0,0.0,35050.0
top,30.0,3.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,3.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,2R,False,12,conservative,1,is,2,-28.6816,-0.573632,-57.3632,108.666,0.5,0.47211455285001747,35050.0
top,30.0,5.0,2R,False,12,optimistic,1,is,2,-28.6816,-0.573632,-57.3632,108.666,0.5,0.47211455285001747,35050.0
top,30.0,5.0,2R,False,24,conservative,1,is,2,-28.6816,-0.573632,-57.3632,108.666,0.5,0.47211455285001747,35050.0
top,30.0,5.0,2R,False,24,optimistic,1,is,2,-28.6816,-0.573632,-57.3632,108.666,0.5,0.47211455285001747,35050.0
top,30.0,5.0,2R,False,10000,conservative,1,is,2,-28.6816,-0.573632,-57.3632,108.666,0.5,0.47211455285001747,35050.0
top,30.0,5.0,2R,False,10000,optimistic,1,is,2,-28.6816,-0.573632,-57.3632,108.666,0.5,0.47211455285001747,35050.0
top,30.0,5.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,opposite_liquidity,False,12,conservative,1,is,2,-108.6832,-2.173664,-217.3664,538.7004,0.0,0.0,35050.0
top,30.0,5.0,opposite_liquidity,False,12,optimistic,1,is,2,-108.6832,-2.173664,-217.3664,538.7004,0.0,0.0,35050.0
top,30.0,5.0,opposite_liquidity,False,24,conservative,1,is,2,-108.6832,-2.173664,-217.3664,538.7004,0.0,0.0,35050.0
top,30.0,5.0,opposite_liquidity,False,24,optimistic,1,is,2,-108.6832,-2.173664,-217.3664,538.7004,0.0,0.0,35050.0
top,30.0,5.0,opposite_liquidity,False,10000,conservative,1,is,2,-108.6832,-2.173664,-217.3664,538.7004,0.0,0.0,35050.0
top,30.0,5.0,opposite_liquidity,False,10000,optimistic,1,is,2,-108.6832,-2.173664,-217.3664,538.7004,0.0,0.0,35050.0
top,30.0,5.0,opposite_liquidity,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,opposite_liquidity,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,opposite_liquidity,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,opposite_liquidity,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,opposite_liquidity,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,5.0,opposite_liquidity,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,2R,False,12,conservative,1,is,2,-13.681300000000007,-0.1710162500000001,-27.362600000000015,138.66660000000002,0.5,0.8026734628237802,35050.0
top,30.0,8.0,2R,False,12,optimistic,1,is,2,-13.681300000000007,-0.1710162500000001,-27.362600000000015,138.66660000000002,0.5,0.8026734628237802,35050.0
top,30.0,8.0,2R,False,24,conservative,1,is,2,-13.681300000000007,-0.1710162500000001,-27.362600000000015,138.66660000000002,0.5,0.8026734628237802,35050.0
top,30.0,8.0,2R,False,24,optimistic,1,is,2,-13.681300000000007,-0.1710162500000001,-27.362600000000015,138.66660000000002,0.5,0.8026734628237802,35050.0
top,30.0,8.0,2R,False,10000,conservative,1,is,2,-13.681300000000007,-0.1710162500000001,-27.362600000000015,138.66660000000002,0.5,0.8026734628237802,35050.0
top,30.0,8.0,2R,False,10000,optimistic,1,is,2,-13.681300000000007,-0.1710162500000001,-27.362600000000015,138.66660000000002,0.5,0.8026734628237802,35050.0
top,30.0,8.0,2R,True,12,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,2R,True,12,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,2R,True,24,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,2R,True,24,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,2R,True,10000,conservative,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,2R,True,10000,optimistic,1,is,0,,,0.0,0.0,0.0,inf,0.0
top,30.0,8.0,opposite_liquidity,False,12,conservative,1,is,2,-138.68380000000002,-1.7335475,-277.36760000000004,568.701,0.0,0.0,35050.0
top,30.0,8.0,opposite_liquidity,False,12,optimistic,1,is,2,-138.68380000000002,-1.7335475,-277.36760000000004,568.701,0.0,0.0,35050.0
top,30.0,8.0,opposite_liquidity,False,24,conservative,1,is,2,-138.68380000000002,-1.7335475,-277.36760000000004,568.701,0.0,0.0,35050.0
top,30.0,8.0,opposite_liquidity,False,24,optimistic,1,is,2,-138.68380000000002,-1.7335475,-277.36760000000004,568.701,0.0,0.0,35050.0
top,30.0,8.0,opposite_liquidity,False,10000,conservative,1,is,2,-138.68380000000002,-1.7335475,-277.36760000000004,568.701,0.0,0.0,35050.0
